IRC  "No channel to send to"
IRC nl.andrius4669.org ">< NOTICE (AUTH): *** Looking up your hostname..."
IRC nl.andrius4669.org ">< NOTICE (AUTH): *** Checking Ident"
IRC nl.andrius4669.org ">< NOTICE (AUTH): *** Couldn't look up your hostname"
IRC nl.andrius4669.org ">< NOTICE (AUTH): *** No Ident response"
IRC nl.andrius4669.org ">< NOTICE (Bud_): *** Your host is masked (6D26A8F0.571CD8C5.BCB94D71.IP)"
IRC nl.andrius4669.org ">< 001 (Bud_): Welcome to the andrius4669 Internet Relay Chat Network Bud_"
IRC nl.andrius4669.org ">< 002 (Bud_): Your host is nl.andrius4669.org, running version hybrid-7.2.3+plexus-3.1.0(20140630_0-542)"
IRC nl.andrius4669.org ">< 003 (Bud_): This server was created May 13 2015 at 08:17:57"
IRC nl.andrius4669.org ">< 004 (Bud_ nl.andrius4669.org hybrid-7.2.3+plexus-3.1.0(20140630_0-542) CDFGNRSUWXabcdfgijklnopqrsuwxyz BIMNORSabcehiklmnopqstvz Iabehkloqv): "
IRC nl.andrius4669.org ">< 005 (Bud_ CALLERID CASEMAPPING=rfc1459 DEAF=D KICKLEN=160 MODES=4 NICKLEN=30 TOPICLEN=390 PREFIX=(qaohv)~&@%+ STATUSMSG=~&@%+ NETWORK=andrius4669 MAXLIST=beI): 100 TARGMAX=ACCEPT:,KICK:1,LIST:1,NAMES:1,NOTICE:64,PRIVMSG:64,WHOIS:1 CHANTYPES=# :are supported by this server"
IRC nl.andrius4669.org ">< 005 (Bud_ CHANLIMIT=#): 80 CHANNELLEN=50 EXCEPTS=e INVEX=I CHANMODES=beI,k,l,BCMNORScimnpstz KNOCK FNC AWAYLEN=160 ELIST=CMNTU SAFELIST NAMESX UHNAMES :are supported by this server"
IRC nl.andrius4669.org ">< 042 (Bud_ 0N0AAACX9): your unique ID"
IRC nl.andrius4669.org ">< 251 (Bud_): There are 8 users and 5 invisible on 1 servers"
IRC nl.andrius4669.org ">< 254 (Bud_ 8): channels formed"
IRC nl.andrius4669.org ">< 255 (Bud_): I have 13 clients and 0 servers"
IRC nl.andrius4669.org ">< 265 (Bud_ 13 24): Current local users 13, max 24"
IRC nl.andrius4669.org ">< 266 (Bud_ 13 24): Current global users 13, max 24"
IRC nl.andrius4669.org ">< 250 (Bud_): Highest connection count: 24 (24 clients) (3456 connections received)"
IRC nl.andrius4669.org ">< 375 (Bud_): - nl.andrius4669.org Message of the Day - "
IRC nl.andrius4669.org ">< 372 (Bud_): - welcome to andrius4669 irc network. feel free to join to main server's channel #H&Z"
IRC nl.andrius4669.org ">< 376 (Bud_): End of /MOTD command."
IRC Bud_ ">< MODE (Bud_): +x"
IRC Bud_ ">< JOIN (): #bud"
IRC nl.andrius4669.org ">< 353 (Bud_ = #bud): Bud_ Jed Bud"
IRC nl.andrius4669.org ">< 366 (Bud_ #bud): End of /NAMES list."
IRC #bud "<Bud_> Jed: a"
IRC #bud "<Jed> b"
IRC #bud "<Bud_> [info] mastermode is open (0)"
IRC #bud "<Bud_> [priv] Jed relinquished root"
IRC #bud "<Bud_> [leave] Jed has left"
